ORDERID,MACHINEID,REQUESTTIMESTAMP,COMPLETEDTIMESTAMP,RESTOCKLATENCYMS
09226a10-fb12-4537-a1ca-9ff54569893f,cheese-machine,1764707422733,1764707471541,48808
2850e648-6f46-4d54-8682-47bce1dc2544,cheese-machine,1764709126173,1764709161215,35042
29920f72-4b24-4fda-af56-639e99d589e0,cheese-machine,1764706062030,1764706097737,35707
33c24aba-e9e3-4fc7-a835-11d56a4b8049,cheese-machine,1764708873665,1764709031682,158017
58a71607-81e2-4e4e-920c-17856821b504,cheese-machine,1764708471006,1764708506028,35022
7b8eb8cd-65fe-4711-8bb7-ff2ee2572784,cheese-machine,1764708023535,1764708058556,35021
8c42be1d-07bc-4226-bedf-bbf5d19999bd,cheese-machine,1764707226215,1764707261235,35020
8d2960fb-f8a6-490d-a0b1-b88721a3d7e0,cheese-machine,1764709393701,1764709428725,35024
8d5e9910-202e-4238-abac-8c5ea51282c9,cheese-machine,1764707103075,1764707138096,35021
980feb15-0c31-4ef3-8af2-ef9a3700d0bc,cheese-machine,1764710227398,1764710262420,35022
997c2c04-0117-47ac-bb39-8a24f6497bf7,cheese-machine,1764706332290,1764706367323,35033
ad31a4bc-e9b9-40c9-a71e-5f1b9b1e6ad7,cheese-machine,1764711234396,1764711269429,35033
ad7a0b91-a652-492b-a9cc-7404e84c9a10,cheese-machine,1764707675816,1764707711421,35605
bd33496d-ee83-4fb1-aa86-08d2b3738449,cheese-machine,1764710868259,1764710903275,35016
c049e65c-02a6-4500-a736-6920e14a3f5f,cheese-machine,1764710411298,1764710493881,82583
c58c797a-a4f0-4de6-9a70-42d9a85f6bdf,cheese-machine,1764709895510,1764709930540,35030
c71248dc-e323-45b0-bfca-9e4fc85c7d1d,cheese-machine,1764706853212,1764706888236,35024
f6650d72-409a-423c-8e9b-d3b5ea5dd8b0,cheese-machine,1764706599032,1764706666037,67005
