ORDERID,STARTTIMESTAMP,DISPATCHEDTIMESTAMP,LATENCYMS,ORDERSIZE
01dbc488-80a5-4057-b352-1241f1bb134e,1763832755964,1763833046234,290270,10
01ee662d-c910-47b9-811c-490a035f709a,1763832747083,1763832895191,148108,10
0990c098-f549-43e6-94a3-2cc8c75e8c9e,1763832794199,1763837759552,4965353,100
12812c32-38cd-4971-9df4-86f2c8238d49,1763832738538,1763832785663,47125,1
14c02e91-bce2-4657-be5e-6ce02e8552ef,1763832734665,1763832775452,40787,1
21de96a9-8540-4945-9258-f912f36d9636,1763832781071,1763835568001,2786930,100
3137c9d3-c3be-422f-a2e0-00cf580f4414,1763832779310,1763835252256,2472946,100
341cd00c-9f89-432d-b4a6-754d1286646e,1763832774178,1763834472475,1698297,50
476e9140-2684-43bb-8f9a-14f2182f3f54,1763832732851,1763832770426,37575,1
4812d527-0e07-4682-b0dc-68a2d58b6bef,1763832742800,1763832806501,63701,10
484d8070-2637-42fb-b07e-a2dae889f65a,1763832782839,1763835889950,3107111,100
5fe0292a-163b-41c6-bec1-0b86dadce91e,1763832759031,1763833075187,316156,10
62a682d5-25bd-4de3-96a8-fb9ac2ae7fef,1763832776735,1763834936733,2159998,100
68aecbd5-9691-460a-b9b7-29f9deef796b,1763832762852,1763833383833,620981,50
6d62ecde-77ba-4ee1-b9fc-b3e8a81bb73c,1763832736902,1763832780552,43650,1
6e0b92f9-dd98-4f0e-8403-e3d796cb06cf,1763832722491,1763832755313,32822,1
763329a1-8526-4447-92b3-8c68da25f554,1763832771648,1763834155520,1383872,50
7cbb5941-d26c-49e8-8139-a4e36f3e3028,1763832765186,1763833538747,773561,50
8046f6b6-f52e-427e-bfd6-9f11b4b7b02f,1763832767104,1763833694036,926932,50
8407ca37-1c17-4532-97d4-6b9856574e26,1763832726339,1763832760359,34020,1
9992d03c-2279-43fe-9431-f107c716a44d,1763832770382,1763834003068,1232686,50
9d467bd7-a396-43eb-a30c-3051d648c486,1763832751369,1763832954261,202892,10
a4110935-5cf7-4aef-b031-5516aa174bb8,1763832761252,1763833228952,467700,50
a7f432bb-aa96-42a7-8a1b-52be8a628b71,1763832784004,1763836198952,3414948,100
b19b157c-d635-49b6-bf91-17bb948c6941,1763832791364,1763837130833,4339469,100
b2d0909a-3460-4a8d-94fc-af98d0884531,1763832768938,1763833848541,1079603,50
c3ecd95d-1a1c-4edf-824a-a65161c603c8,1763832784952,1763836513654,3728702,100
c46e9508-6253-43df-8393-b3f21481643a,1763832792649,1763837447344,4654695,100
c6719977-9344-4a5e-8144-2c46f09d1bf7,1763832730433,1763832765399,34966,1
c67a2928-e116-456f-b636-0f7db466e0bc,1763832719238,1763832750117,30879,1
cfab8bdd-1f0a-443b-b6b0-f1b9873ed622,1763832775585,1763834626870,1851285,50
d7546151-dcac-4ef5-9bbf-67ae0427e204,1763832787650,1763836819083,4031433,100
d8def72c-00ca-4ce0-b2ac-528671c4d07b,1763832772957,1763834314961,1542004,50
da08e654-c689-472f-90bd-ddfca2a73802,1763832740095,1763832790716,50621,1
e499ea1e-2e05-4e52-b3c8-1ba69fbc5ac9,1763832744162,1763832838999,94837,10
e6d597a2-9375-44b6-b565-b7cb0cf7767f,1763832741348,1763832795757,54409,1
f488fbd3-e300-4cb6-a7bd-bf3af44a7dd9,1763832752687,1763832987842,235155,10
f93488c2-7611-4efa-8b4c-c05e67e9a7c0,1763832754076,1763833018090,264014,10
f9598828-c7da-4a1d-b9ed-ad11e6490259,1763832749187,1763832924265,175078,10
f9d4c412-deb3-47ec-8bc5-7bf88a5c4254,1763832745482,1763832866650,121168,10
