ORDERID,MACHINEID,REQUESTTIMESTAMP,COMPLETEDTIMESTAMP,RESTOCKLATENCYMS
01dbc488-80a5-4057-b352-1241f1bb134e,dough-machine,1763832997171,1763832998246,1075
0990c098-f549-43e6-94a3-2cc8c75e8c9e,dough-machine,1763837495401,1763837496428,1027
21de96a9-8540-4945-9258-f912f36d9636,dough-machine,1763835520701,1763835521742,1041
3137c9d3-c3be-422f-a2e0-00cf580f4414,dough-machine,1763834948118,1763834949146,1028
341cd00c-9f89-432d-b4a6-754d1286646e,dough-machine,1763834384859,1763834385887,1028
484d8070-2637-42fb-b07e-a2dae889f65a,dough-machine,1763835795540,1763835796566,1026
62a682d5-25bd-4de3-96a8-fb9ac2ae7fef,dough-machine,1763834670889,1763834671920,1031
68aecbd5-9691-460a-b9b7-29f9deef796b,dough-machine,1763833271539,1763833272582,1043
6e0b92f9-dd98-4f0e-8403-e3d796cb06cf,dough-machine,1763832724370,1763832726308,1938
763329a1-8526-4447-92b3-8c68da25f554,dough-machine,1763834107040,1763834108066,1026
8046f6b6-f52e-427e-bfd6-9f11b4b7b02f,dough-machine,1763833549813,1763833550868,1055
9992d03c-2279-43fe-9431-f107c716a44d,dough-machine,1763833826515,1763833827542,1027
a7f432bb-aa96-42a7-8a1b-52be8a628b71,dough-machine,1763836082463,1763836083495,1032
b19b157c-d635-49b6-bf91-17bb948c6941,dough-machine,1763836922374,1763836923393,1019
c3ecd95d-1a1c-4edf-824a-a65161c603c8,dough-machine,1763836374776,1763836375809,1033
c46e9508-6253-43df-8393-b3f21481643a,dough-machine,1763837205211,1763837206249,1038
d7546151-dcac-4ef5-9bbf-67ae0427e204,dough-machine,1763836650398,1763836651425,1027
