ORDERID,STARTTIMESTAMP,DISPATCHEDTIMESTAMP,LATENCYMS,ORDERSIZE
01678b4e-27b9-48d6-bf10-cd74e3ea7e66,1764705820127,1764706838792,1018665,50
068e3145-28b0-4a2b-97b1-50615ba9d190,1764705817375,1764706138756,321381,10
09226a10-fb12-4537-a1ca-9ff54569893f,1764705822402,1764707533577,1711175,50
124c01fe-c518-4277-ba63-9f5188a97422,1764705809028,1764705844926,35898,1
138060e2-9a98-4355-8ade-247df73e1e4b,1764705809555,1764705849983,40428,1
1423b9fd-5ca5-4d7a-a062-2c4331bbe97d,1764705815099,1764706015758,200659,10
16a23836-01fa-4efe-996c-184dd6c7fc0b,1764705811214,1764705865093,53879,1
1a5f488e-d9ba-45ed-8bbb-31fef87818c4,1764705812823,1764705890828,78005,10
24e5cb68-1591-4aa4-8c10-a986340a6e94,1764705810101,1764705855026,44925,1
2850e648-6f46-4d54-8682-47bce1dc2544,1764705825625,1764709313736,3488111,100
29920f72-4b24-4fda-af56-639e99d589e0,1764705816825,1764706105816,288991,10
33c24aba-e9e3-4fc7-a835-11d56a4b8049,1764705825074,1764708902561,3077487,100
58a71607-81e2-4e4e-920c-17856821b504,1764705824529,1764708516577,2692048,100
699f8818-16ef-407e-a66e-b8fc8614b29d,1764705807166,1764705829767,22601,1
7b8eb8cd-65fe-4711-8bb7-ff2ee2572784,1764705823988,1764708157215,2333227,100
7fecf921-fc65-4d6e-9539-bc8ee125c0c3,1764705814556,1764705983409,168853,10
8361ae4c-497d-4e31-bca4-6c02644e15ad,1764705816257,1764706077539,261282,10
8435f9ed-f46c-4cec-8ac7-747d5a88ab9c,1764705808386,1764705839874,31488,1
8c42be1d-07bc-4226-bedf-bbf5d19999bd,1764705821845,1764707307337,1485492,50
8d2960fb-f8a6-490d-a0b1-b88721a3d7e0,1764705826188,1764709621486,3795298,100
8d5e9910-202e-4238-abac-8c5ea51282c9,1764705821292,1764707152616,1331324,50
8fc07b80-05c2-40e6-a1e4-3c3b6e8725e1,1764705807820,1764705834860,27040,1
980feb15-0c31-4ef3-8af2-ef9a3700d0bc,1764705827323,1764710264275,4436952,100
997c2c04-0117-47ac-bb39-8a24f6497bf7,1764705819019,1764706520187,701168,50
9cb8c63a-42f9-4cd9-ae70-84f03a148b79,1764705813403,1764705919422,106019,10
ad31a4bc-e9b9-40c9-a71e-5f1b9b1e6ad7,1764705828969,1764711268574,5439605,100
ad7a0b91-a652-492b-a9cc-7404e84c9a10,1764705823456,1764707845831,2022375,50
b906f196-4109-4d92-993a-33fd34c05235,1764705810667,1764705860056,49389,1
bd33496d-ee83-4fb1-aa86-08d2b3738449,1764705828414,1764710909883,5081469,100
c049e65c-02a6-4500-a736-6920e14a3f5f,1764705827864,1764710584747,4756883,100
c31cc349-5075-4daa-80ff-3afc5031d386,1764705818458,1764706348541,530083,50
c58c797a-a4f0-4de6-9a70-42d9a85f6bdf,1764705826728,1764709920465,4093737,100
c71248dc-e323-45b0-bfca-9e4fc85c7d1d,1764705820720,1764706994935,1174215,50
cb0cfe8f-132a-4088-98f4-c2514e63152d,1764705822926,1764707708436,1885510,50
d9854208-c404-4105-ad09-9e914fe42b14,1764705817900,1764706200236,382336,10
db09885d-48bd-4eb2-afd7-92ca3c263d32,1764705811768,1764705870137,58369,1
e8c4e985-d9c0-4337-968f-21d35e44bffa,1764705812300,1764705875173,62873,1
e9c0a290-e205-486d-9930-726d388693a1,1764705813991,1764705951764,137773,10
f6650d72-409a-423c-8e9b-d3b5ea5dd8b0,1764705819583,1764706672064,852481,50
fb25d9df-9979-4b34-a03f-d809c1f04169,1764705815688,1764706046873,231185,10
