ORDERID,MACHINE,REQUESTTIMESTAMP,COMPLETEDTIMESTAMP,RESTOCKLATENCYMS
20e1635d-8e97-41e7-bc5c-a8321782ad51,,1764783090390,1764783152274,61884
2a98bb66-9999-47fa-9226-916c84d68f51,,1764781917941,1764782036026,118085
34c94286-4000-4e76-b5b0-e813a9c66cbc,,1764784726517,1764784802734,76217
34ec6715-b3e1-42a7-9a96-ed326f3d8fab,,1764787630346,1764787714533,84187
524cc213-7454-4e5a-8151-c46655b7db10,,1764785514025,1764785550061,36036
54f92f13-1438-490a-b50e-c0e3ba7af38b,,1764783415204,1764783489715,74511
79bae78a-e03d-448c-9dc2-9b4c91031f70,,1764786525885,1764786611063,85178
8fdb04b8-7bf7-4519-8a85-477b6694126f,,1764786885710,1764786973047,87337
9dc55045-1e5e-4914-9245-fa3d4ec514fd,,1764782716224,1764782799245,83021
c3a99d9c-89b7-4cd0-b9dc-074d72d06479,,1764784083310,1764784154936,71626
c94f1ed8-d94c-419d-9fba-fe3679540e9e,,1764783754555,1764783807003,52448
cb3afe82-6a3c-448e-bba9-029461e07b1f,,1764782360849,1764782410652,49803
d05f3891-7cc4-49be-97ba-a696f5374f13,,1764785888602,1764785931301,42699
d1c12852-9370-4e24-b778-360dd56b7575,,1764784427105,1764784463139,36034
d97883d8-0d6a-4661-af1a-5e08182181fa,,1764785144972,1764785180992,36020
e63b469e-9294-459f-86e5-4d6149cac898,,1764786241504,1764786291455,49951
