E_PIZZA_ORDER_KEY,E_PIZZA_ID,E_ORDER_ID,ORDER_SIZE,SAUCE,CHEESE,MEAT,VEGGIES,BAKED,STARTTIMESTAMP,ENDTIMESTAMP,LATENCYMS
100_1c15c39d-92af-4ded-80f9-83ab37feb1d5,100,1c15c39d-92af-4ded-80f9-83ab37feb1d5,100,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],False,1764177282370,1764177298176,15806
100_367a96cd-8c2e-4297-a96c-8e35a863c6bc,100,367a96cd-8c2e-4297-a96c-8e35a863c6bc,100,tomato,['mozzarella'],[],['basil'],False,1764174553104,1764174568668,15564
100_a37c3e48-f834-445e-b823-7bea1566b633,100,a37c3e48-f834-445e-b823-7bea1566b633,100,tomato,"['mozzarella', 'cheddar']","['pepperoni', 'sausage', 'ham']","['mushroom', 'onion', 'green pepper', 'black olive']",False,1764176654434,1764176714156,59722
100_df93b2e3-8576-4f50-8ff4-916e33571ea9,100,df93b2e3-8576-4f50-8ff4-916e33571ea9,100,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],False,1764176207271,1764176288463,81192
100_f10c0f3d-f4e4-407e-a2b2-b0e2069c1e4e,100,f10c0f3d-f4e4-407e-a2b2-b0e2069c1e4e,100,tomato,"['mozzarella', 'cheddar']","['pepperoni', 'sausage', 'ham']","['mushroom', 'onion', 'green pepper', 'black olive']",False,1764174084274,1764174110097,25823
100_f5187049-c9f4-44c8-b5ff-53878610baea,100,f5187049-c9f4-44c8-b5ff-53878610baea,100,tomato,"['mozzarella', 'cheddar']","['pepperoni', 'sausage', 'ham']","['mushroom', 'onion', 'green pepper', 'black olive']",False,1764175022055,1764175049263,27208
100_fe8e08a8-777e-4986-a7e2-482b8f9fb831,100,fe8e08a8-777e-4986-a7e2-482b8f9fb831,100,tomato,"['mozzarella', 'cheddar']","['pepperoni', 'sausage', 'ham']","['mushroom', 'onion', 'green pepper', 'black olive']",False,1764175753401,1764175839017,85616
10_050b3fde-8b14-4304-9852-4553eb02f161,10,050b3fde-8b14-4304-9852-4553eb02f161,50,tomato,['mozzarella'],"['ham', 'bacon']",['pineapple'],True,1764172957947,1764173044694,86747
10_067646a4-55fb-4794-a053-f0b8058b5d4b,10,067646a4-55fb-4794-a053-f0b8058b5d4b,50,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],True,1764172591266,1764172607032,15766
10_1ad7ffbb-1ea1-4cf1-a0b9-eac3d3dd5c8f,10,1ad7ffbb-1ea1-4cf1-a0b9-eac3d3dd5c8f,10,White Garlic Cream,['mozzarella'],[],"['mushroom', 'truffle']",False,1764170522894,1764170684364,161470
10_1c15c39d-92af-4ded-80f9-83ab37feb1d5,10,1c15c39d-92af-4ded-80f9-83ab37feb1d5,100,tomato,['mozzarella'],['pepperoni'],[],False,1764176694005,1764176739674,45669
