ORDERID,MACHINEID,REQUESTTIMESTAMP,COMPLETEDTIMESTAMP,RESTOCKLATENCYMS
20e1635d-8e97-41e7-bc5c-a8321782ad51,sauce-machine,1764783131672,1764783187305,55633
2a98bb66-9999-47fa-9226-916c84d68f51,sauce-machine,1764781640961,1764781714445,73484
34c94286-4000-4e76-b5b0-e813a9c66cbc,sauce-machine,1764784929388,1764784977903,48515
34ec6715-b3e1-42a7-9a96-ed326f3d8fab,sauce-machine,1764787465384,1764787500402,35018
524cc213-7454-4e5a-8151-c46655b7db10,sauce-machine,1764785623198,1764785690187,66989
77252ded-ed2a-4e40-8ab3-9053694f4ed4,sauce-machine,1764785157898,1764785216022,58124
8d6e5ed9-5d0d-4324-ad00-42e9f5d3624d,sauce-machine,1764782060102,1764782141102,81000
8f345413-3236-48c8-8070-5c57868043d9,sauce-machine,1764786409930,1764786505934,96004
8fdb04b8-7bf7-4519-8a85-477b6694126f,sauce-machine,1764786727314,1764786762400,35086
9dc55045-1e5e-4914-9245-fa3d4ec514fd,sauce-machine,1764782873392,1764782939389,65997
c3a99d9c-89b7-4cd0-b9dc-074d72d06479,sauce-machine,1764784035055,1764784119903,84848
c94f1ed8-d94c-419d-9fba-fe3679540e9e,sauce-machine,1764783763062,1764783842022,78960
cb3afe82-6a3c-448e-bba9-029461e07b1f,sauce-machine,1764782487098,1764782585841,98743
d05f3891-7cc4-49be-97ba-a696f5374f13,sauce-machine,1764785861237,1764785896264,35027
d1c12852-9370-4e24-b778-360dd56b7575,sauce-machine,1764784363316,1764784398346,35030
e63b469e-9294-459f-86e5-4d6149cac898,sauce-machine,1764786151339,1764786186363,35024
fbc733f0-a845-486f-85b4-53a78ef8d9ac,sauce-machine,1764787135064,1764787170098,35034
