ORDERID,MACHINEID,REQUESTTIMESTAMP,COMPLETEDTIMESTAMP,RESTOCKLATENCYMS
095acf60-a8aa-4a8d-bb7d-6e1a1e3990a2,meat-machine,1764782667916,1764782729188,61272
0f8c080b-3be9-4c8e-9366-23fc83d40c93,meat-machine,1764784602095,1764784697636,95541
20e1635d-8e97-41e7-bc5c-a8321782ad51,meat-machine,1764783146128,1764783257460,111332
2a98bb66-9999-47fa-9226-916c84d68f51,meat-machine,1764781909350,1764782000988,91638
34ec6715-b3e1-42a7-9a96-ed326f3d8fab,meat-machine,1764787582079,1764787644458,62379
524cc213-7454-4e5a-8151-c46655b7db10,meat-machine,1764785733946,1764785769973,36027
54f92f13-1438-490a-b50e-c0e3ba7af38b,meat-machine,1764783348529,1764783384568,36039
77252ded-ed2a-4e40-8ab3-9053694f4ed4,meat-machine,1764785168029,1764785286085,118056
8f345413-3236-48c8-8070-5c57868043d9,meat-machine,1764786408908,1764786470915,62007
8fdb04b8-7bf7-4519-8a85-477b6694126f,meat-machine,1764786778972,1764786814998,36026
c3a99d9c-89b7-4cd0-b9dc-074d72d06479,meat-machine,1764783990919,1764784049847,58928
cb3afe82-6a3c-448e-bba9-029461e07b1f,meat-machine,1764782522046,1764782620878,98832
d05f3891-7cc4-49be-97ba-a696f5374f13,meat-machine,1764785905165,1764785966338,61173
d1c12852-9370-4e24-b778-360dd56b7575,meat-machine,1764784279477,1764784315499,36022
e63b469e-9294-459f-86e5-4d6149cac898,meat-machine,1764786154890,1764786221388,66498
f362eab4-1dc2-412c-81df-37145a1ab9e4,meat-machine,1764783904943,1764783947163,42220
fbc733f0-a845-486f-85b4-53a78ef8d9ac,meat-machine,1764787139660,1764787205146,65486
